panel	source_file	record_type	dataset	program	day	n_participants	model_effect	model_se	model_ci95_low	model_ci95_high	model_t	model_df	model_p	paired_mean_change	paired_sd	paired_hedges_g	exact_signflip_p	lopo_direction_fraction	direction	primary_timepoint	model_BH_q	standardized_spearman_rho	bootstrap_ci95_low	bootstrap_ci95_high	bootstrap_replicates_valid	exact_label_permutation_p	exact_label_permutations	raw_mean_change_spearman_rho	directional_concordance
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	collagen_organization	14	14.0	0.492013266077818	0.0864672099583348	0.319870274583942	0.664156257571694	5.69017164211613	78.0	2.1273783904791e-07	0.492013266077818	0.361711466958069	1.28022291674649	0.00048828125	1.0	UP	True	2.97832974667074e-06								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	proliferation	1	14.0	0.934731979370333	0.107554831290254	0.720606758759594	1.14885719998107	8.69074841322381	78.0	4.29882491659576e-13	0.934731979370332	0.483850989198444	1.81822041274966	0.0001220703125	1.0	UP	True	1.8055064649702198e-11								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	proliferation	7	14.0	0.35178673275681	0.107554831290254	0.137661512146071	0.565911953367549	3.27076644104862	78.0	0.0015982351566894	0.351786732756809	0.236304221877103	1.40113195145542	0.0001220703125	1.0	UP	True	0.0061023524164505								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	proliferation	14	14.0	0.074418887837036	0.107554831290254	-0.139706332773703	0.288544108447775	0.69191580651737	78.0	0.491044766556086	0.074418887837036	0.210988087420571	0.33196806064196	0.2113037109375	1.0	UP	True	0.607562953412004								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	matrix_maturation	1	14.0	-0.398879354013243	0.0945431053870531	-0.587100218249412	-0.210658489777073	-4.21902107382932	78.0	6.5637436371925e-05	-0.398879354013243	0.386293981937939	-0.97183979081769	0.0029296875	1.0	DOWN	True	0.0004594620546034								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	matrix_maturation	7	14.0	0.0652960472608162	0.0945431053870531	-0.122924816975353	0.253516911496986	0.690648429554948	78.0	0.491836676571622	0.0652960472608157	0.43115288388809	0.142536686175219	0.5804443359375	0.928571428571429	UP	True	0.607562953412004								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	matrix_maturation	14	14.0	0.188694278215838	0.094543105387053	0.0004734139796688	0.376915142452007	1.99585445647609	78.0	0.049440492298049	0.188694278215838	0.367375458666675	0.483414475849655	0.0616455078125	1.0	UP	True	0.103825033825903								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	acute_injury	1	17.0	0.211594898708432	0.0786037564205671	0.0535514539694113	0.369638343447453	2.69191840624384	48.0	0.009751060987567	0.211594898708432	0.466877631976031	0.431631197018309	0.0801849365234375	1.0	UP	True	0.0233633704090532								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	acute_injury	7	17.0	0.0159451377902558	0.0786037564205671	-0.142098306948765	0.173988582529277	0.202854653725985	48.0	0.840106083931538	0.0159451377902557	0.291300366626419	0.0521312269201656	0.8228759765625	0.764705882352941	UP	True	0.882111388128115								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	acute_injury	14	17.0	0.0883915033454319	0.078603756420567	-0.069651941393589	0.246434948084453	1.12452009128541	48.0	0.266384582161818	0.088391503345432	0.197718299009242	0.425769311997631	0.085296630859375	1.0	UP	True	0.310782012522121								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	inflammation	1	17.0	0.490695789987332	0.0634615433988281	0.36309780505717	0.618293774917494	7.73217548308782	48.0	5.60473675222222e-10	0.490695789987331	0.304869448447874	1.5328834233036	4.57763671875e-05	1.0	UP	True	1.17699471796667e-08								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	inflammation	7	17.0	0.218446614748866	0.0634615433988281	0.0908486298187033	0.346044599679028	3.44218881308991	48.0	0.0012054539810846	0.218446614748865	0.208437547365158	0.9981138121648	0.0006561279296875	1.0	UP	True	0.004219088933796								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	inflammation	14	17.0	0.260383513607509	0.063461543398828	0.132785528677346	0.387981498537671	4.10301262248087	48.0	0.0001571153533749	0.260383513607509	0.239876819991623	1.03379850826136	0.0001068115234375	1.0	UP	True	0.000778651560783								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	epidermal_repair	1	17.0	-0.0910434946899549	0.0983653700510765	-0.288820326661219	0.106733337281309	-0.925564501436637	48.0	0.359302573348782	-0.0910434946899547	0.510710993671806	-0.169779173065207	0.466812133789063	1.0	DOWN	True	0.39712389685918								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	epidermal_repair	7	17.0	-0.146602111866762	0.0983653700510764	-0.344378943838026	0.0511747201045021	-1.49038337161379	48.0	0.142665958773516	-0.146602111866762	0.453462929712519	-0.307899609366616	0.206573486328125	1.0	DOWN	True	0.213998938160273								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	epidermal_repair	14	17.0	-0.111871266843608	0.0983653700510764	-0.309648098814871	0.0859055651276562	-1.13730336993109	48.0	0.261057076368586	-0.111871266843608	0.328419371332996	-0.324414675139701	0.180191040039063	1.0	DOWN	True	0.310782012522121								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	ecm_remodeling	1	17.0	-0.156042699292802	0.0610363768339544	-0.278764560034601	-0.033320838551003	-2.55655245915573	48.0	0.0137899929915931	-0.156042699292802	0.268773613879836	-0.552926652357382	0.0299224853515625	1.0	DOWN	True	0.0289589852823454								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	ecm_remodeling	7	17.0	0.0753245923854303	0.0610363768339544	-0.0473972683563689	0.198046453127229	1.2340934421836	48.0	0.223176343018454	0.0753245923854302	0.160422255439502	0.447180516426517	0.0710601806640625	1.0	UP	True	0.29291895021172								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	ecm_remodeling	14	17.0	0.18942938419928	0.0610363768339543	0.066707523457481	0.312151244941079	3.10354896580134	48.0	0.0032021658397175	0.18942938419928	0.210993021885786	0.855046938141425	0.0017547607421875	1.0	UP	True	0.0096064975191525								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	collagen_organization	1	17.0	-0.128969010393382	0.0917828875831689	-0.313510874323219	0.0555728535364546	-1.40515311502395	48.0	0.166415015655926	-0.128969010393382	0.394595530846034	-0.311274759454901	0.196426391601563	1.0	DOWN	True	0.232981021918297								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	collagen_organization	7	17.0	0.202329838917256	0.0917828875831689	0.017787974987419	0.386871702847093	2.2044396754669	48.0	0.0323204068868511	0.202329838917256	0.237472136451726	0.811442923630209	0.00335693359375	1.0	UP	True	0.0565607120519895								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	collagen_organization	14	17.0	0.37182144480449	0.0917828875831688	0.187279580874653	0.556363308734326	4.05109770018474	48.0	0.0001853932287578	0.37182144480449	0.324951580565752	1.08974900538115	0.0001373291015625	1.0	UP	True	0.000778651560783								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE206495_NAFL_FOREARM	proliferation	1	17.0	0.711480280121594	0.110651774518249	0.488999976282403	0.933960583960785	6.42990393257772	48.0	5.50892837200288e-08	0.711480280121593	0.495070640128325	1.36869410516211	1.52587890625e-05	1.0	UP	True	5.78437479060302e-07								
