panel	source_file	record_type	dataset	program	day	n_participants	model_effect	model_se	model_ci95_low	model_ci95_high	model_t	model_df	model_p	paired_mean_change	paired_sd	paired_hedges_g	exact_signflip_p	lopo_direction_fraction	direction	primary_timepoint	model_BH_q	participant_id	baseline_score	treated_score	difference	afl_hedges_g_1	afl_hedges_g_7	afl_hedges_g_14	nafl_hedges_g_1	nafl_hedges_g_7	nafl_hedges_g_14	afl_transition_D14_minus_D1	nafl_transition_D14_minus_D1	same_transition_direction	metric	value	analysis	variant	removed_gene	genes_used	day14_hedges_g
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	1.0																	2022.0	-0.0376500534155777	0.115015310059658	0.152665363475236																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	1.0																	2024.0	-0.122926187872927	0.205328624455566	0.328254812328493																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	1.0																	2026.0	0.147754357236731	-0.0324461155415712	-0.180200472778303																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	1.0																	2027.0	-0.0287665329818134	-0.363295525194402	-0.334528992212589																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	1.0																	2029.0	0.430312175627473	0.228594930655073	-0.2017172449724																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	1.0																	2030.0	-0.222607306563835	-0.287238138681647	-0.0646308321178117																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	14.0																	2006.0	-0.144154611642544	-0.161146221781236	-0.0169916101386918																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	14.0																	2007.0	-0.290737928683719	-0.0003190505666148	0.290418878117104																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	14.0																	2011.0	-0.398120169415051	-0.0624642788458517	0.335655890569199																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	14.0																	2013.0	-0.184076945212685	0.192408811631899	0.376485756844584																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	14.0																	2014.0	-0.199298820023667	-0.211649085915569	-0.0123502658919023																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	14.0																	2017.0	-0.0255152041966783	0.228839367333314	0.254354571529992																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	14.0																	2018.0	-0.591481069661954	0.243754204535081	0.835235274197035																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	14.0																	2020.0	-0.0304955625214934	0.10298442216995	0.133479984691444																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	14.0																	2022.0	-0.0376500534155777	-0.0355537298321073	0.0020963235834704																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	14.0																	2024.0	-0.122926187872927	0.327610553876751	0.450536741749678																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	14.0																	2026.0	0.147754357236731	-0.0754998557674182	-0.22325421300415																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	14.0																	2027.0	-0.0287665329818134	0.104029125454805	0.132795658436618																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	14.0																	2029.0	0.430312175627473	0.763989325947408	0.333677150319935																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	ecm_remodeling	14.0																	2030.0	-0.222607306563835	0.373800295998467	0.596407602562302																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	1.0																	2006.0	-0.173357000943436	-0.391183769678176	-0.217826768734739																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	1.0																	2007.0	-0.498019601171609	-0.399139844194335	0.098879756977274																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	1.0																	2011.0	-0.586937586199242	-0.509903278255492	0.0770343079437503																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	1.0																	2013.0	-0.283365325912711	-0.245674326685025	0.0376909992276865																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	1.0																	2014.0	-0.298226808790767	-0.624787320240453	-0.326560511449686																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	1.0																	2017.0	-0.163882344651741	-0.2170358197107	-0.053153475058958																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	1.0																	2018.0	-0.806153993052299	-0.506420554978364	0.299733438073936																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	1.0																	2020.0	-0.215836071279637	-0.26503365701085	-0.0491975857312131																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	1.0																	2022.0	-0.309735405783442	-0.128072961421164	0.181662444362278																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	1.0																	2024.0	-0.183050332759226	0.134497126907449	0.317547459666675																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	1.0																	2026.0	0.0577563247119711	-0.394689020747761	-0.452445345459732																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	1.0																	2027.0	-0.23505043115024	-0.6007558152495	-0.365705384099259																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	1.0																	2029.0	0.404668839843321	0.138882267530336	-0.265786572312985																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	1.0																	2030.0	-0.226118217667661	-0.298077584995558	-0.0719593673278978																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	14.0																	2006.0	-0.173357000943436	-0.063016124942573	0.110340876000863																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	14.0																	2007.0	-0.498019601171609	0.0865436855874865	0.584563286759095																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	14.0																	2011.0	-0.586937586199242	-0.0347655750766661	0.552172011122576																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	14.0																	2013.0	-0.283365325912711	0.122921541389001	0.406286867301713																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	14.0																	2014.0	-0.298226808790767	-0.13722119212236	0.161005616668407																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	14.0																	2017.0	-0.163882344651741	0.212450575903378	0.37633292055512																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	14.0																	2018.0	-0.806153993052299	0.42167981065676	1.22783380370906																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	14.0																	2020.0	-0.215836071279637	0.285203880946746	0.501039952226383																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	14.0																	2022.0	-0.309735405783442	-0.109564185295617	0.200171220487825																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	14.0																	2024.0	-0.183050332759226	0.479110202954698	0.662160535713924																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	14.0																	2026.0	0.0577563247119711	-0.115650177614843	-0.173406502326814																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	14.0																	2027.0	-0.23505043115024	0.325244933139912	0.560295364290152																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	14.0																	2029.0	0.404668839843321	1.12428996907179	0.719621129228471																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	collagen_organization	14.0																	2030.0	-0.226118217667661	0.773650425685023	0.999768643352683																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	matrix_maturation	1.0																	2006.0	-0.104538835659234	-0.578748855038466	-0.474210019379232																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	matrix_maturation	1.0																	2007.0	-0.220265290942392	-0.353955223220162	-0.13368993227777																
B	03_results/phase2b/FOCAL_PARTICIPANT_D1_D14_DISTRIBUTIONS.tsv	participant_difference	GSE168760_AFL	matrix_maturation	1.0																	2011.0	-0.509502121352848	-0.724563215068168	-0.21506109371532																
