program	gene_symbol
ecm_remodeling	CAPN2
ecm_remodeling	CAPN3
ecm_remodeling	CAPN5
ecm_remodeling	CAPN6
ecm_remodeling	CAPN7
ecm_remodeling	CAPN8
ecm_remodeling	CAPN9
ecm_remodeling	CAPNS1
ecm_remodeling	CAPNS2
ecm_remodeling	CASK
ecm_remodeling	CASP3
ecm_remodeling	CAST
ecm_remodeling	CD151
ecm_remodeling	CD44
ecm_remodeling	CD47
ecm_remodeling	CDH1
ecm_remodeling	CEACAM1
ecm_remodeling	CEACAM6
ecm_remodeling	CEACAM8
ecm_remodeling	CMA1
ecm_remodeling	COL10A1
ecm_remodeling	COL11A1
ecm_remodeling	COL11A2
ecm_remodeling	COL12A1
ecm_remodeling	COL13A1
ecm_remodeling	COL14A1
ecm_remodeling	COL15A1
ecm_remodeling	COL16A1
ecm_remodeling	COL17A1
ecm_remodeling	COL18A1
ecm_remodeling	COL19A1
ecm_remodeling	COL1A1
ecm_remodeling	COL1A2
ecm_remodeling	COL20A1
ecm_remodeling	COL21A1
ecm_remodeling	COL22A1
ecm_remodeling	COL23A1
ecm_remodeling	COL24A1
ecm_remodeling	COL25A1
ecm_remodeling	COL26A1
ecm_remodeling	COL27A1
ecm_remodeling	COL28A1
ecm_remodeling	COL2A1
ecm_remodeling	COL3A1
ecm_remodeling	COL4A1
ecm_remodeling	COL4A2
ecm_remodeling	COL4A3
ecm_remodeling	COL4A4
ecm_remodeling	COL4A5
ecm_remodeling	COL4A6
ecm_remodeling	COL5A1
ecm_remodeling	COL5A2
ecm_remodeling	COL5A3
ecm_remodeling	COL6A1
ecm_remodeling	COL6A2
ecm_remodeling	COL6A3
ecm_remodeling	COL6A5
ecm_remodeling	COL6A6
ecm_remodeling	COL7A1
ecm_remodeling	COL8A1
ecm_remodeling	COL8A2
ecm_remodeling	COL9A1
ecm_remodeling	COL9A2
ecm_remodeling	COL9A3
ecm_remodeling	COLGALT1
ecm_remodeling	COLGALT2
ecm_remodeling	COMP
ecm_remodeling	CRTAP
ecm_remodeling	CTRB1
ecm_remodeling	CTRB2
ecm_remodeling	CTSB
ecm_remodeling	CTSD
ecm_remodeling	CTSG
ecm_remodeling	CTSK
ecm_remodeling	CTSL
ecm_remodeling	CTSS
ecm_remodeling	CTSV
ecm_remodeling	DAG1
ecm_remodeling	DCN
ecm_remodeling	DDR1
ecm_remodeling	DDR2
ecm_remodeling	DMD
ecm_remodeling	DMP1
ecm_remodeling	DRP2
ecm_remodeling	DSPP
ecm_remodeling	DST
ecm_remodeling	DTNA
