analysis	variant	removed_gene	dataset	genes_used	day14_hedges_g	direction
leave_one_gene_out	LOO	NF1	GSE168760_AFL	68	1.3063610469452	UP
leave_one_gene_out	LOO	NF1	GSE206495_NAFL_FOREARM	68	1.09949347738851	UP
leave_one_gene_out	LOO	OPTC	GSE168760_AFL	68	1.29140632661242	UP
leave_one_gene_out	LOO	OPTC	GSE206495_NAFL_FOREARM	68	1.10681542389172	UP
leave_one_gene_out	LOO	P4HA1	GSE168760_AFL	68	1.29933416974491	UP
leave_one_gene_out	LOO	P4HA1	GSE206495_NAFL_FOREARM	68	1.1030452838544	UP
leave_one_gene_out	LOO	P4HA3	GSE168760_AFL	68	1.25721285106936	UP
leave_one_gene_out	LOO	P4HA3	GSE206495_NAFL_FOREARM	68	1.08777678135222	UP
leave_one_gene_out	LOO	PLOD1	GSE168760_AFL	68	1.27008437187401	UP
leave_one_gene_out	LOO	PLOD1	GSE206495_NAFL_FOREARM	68	1.09364252671191	UP
leave_one_gene_out	LOO	PLOD2	GSE168760_AFL	68	1.27648944780094	UP
leave_one_gene_out	LOO	PLOD2	GSE206495_NAFL_FOREARM	68	1.08580276338399	UP
leave_one_gene_out	LOO	PLOD3	GSE168760_AFL	68	1.26798610990917	UP
leave_one_gene_out	LOO	PLOD3	GSE206495_NAFL_FOREARM	68	1.09581064659535	UP
leave_one_gene_out	LOO	PXDN	GSE168760_AFL	68	1.26586333147068	UP
leave_one_gene_out	LOO	PXDN	GSE206495_NAFL_FOREARM	68	1.07600785941758	UP
leave_one_gene_out	LOO	RB1	GSE168760_AFL	68	1.24521072121435	UP
leave_one_gene_out	LOO	RB1	GSE206495_NAFL_FOREARM	68	1.05295219816487	UP
leave_one_gene_out	LOO	SERPINF2	GSE168760_AFL	68	1.29835979507439	UP
leave_one_gene_out	LOO	SERPINF2	GSE206495_NAFL_FOREARM	68	1.10343090480381	UP
leave_one_gene_out	LOO	SERPINH1	GSE168760_AFL	68	1.26904440732787	UP
leave_one_gene_out	LOO	SERPINH1	GSE206495_NAFL_FOREARM	68	1.09480795958244	UP
leave_one_gene_out	LOO	SFRP2	GSE168760_AFL	68	1.28216269594876	UP
leave_one_gene_out	LOO	SFRP2	GSE206495_NAFL_FOREARM	68	1.07715533761994	UP
