gene_symbol	n_entrez_per_symbol	probe_id	gene_symbol_raw	entrez_raw	platform	symbol_unique	entrez_unique	entrez_id	mapping_status	used_reliable	selected_highest_iqr_probe	used_shared_universe
	0	11741851_s_at	INS /// INS-IGF2	3630 /// 723961	GPL13667	FALSE	FALSE		MISSING_OR_AMBIGUOUS_SYMBOL	FALSE	FALSE	FALSE
PLCXD2	1	11741852_a_at	PLCXD2	257068	GPL13667	TRUE	TRUE	257068	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
P2RX2	1	11741853_a_at	P2RX2	22953	GPL13667	TRUE	TRUE	22953	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
CCDC140	1	11741854_at	CCDC140	151278	GPL13667	TRUE	TRUE	151278	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
ARGFX	1	11741855_at	ARGFX	503582	GPL13667	TRUE	TRUE	503582	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
	0	11741856_s_at	LOC653501 /// ZNF658 /// ZNF658B	26149 /// 401509 /// 653501	GPL13667	FALSE	FALSE		MISSING_OR_AMBIGUOUS_SYMBOL	FALSE	FALSE	FALSE
NYX	1	11741857_a_at	NYX	60506	GPL13667	TRUE	TRUE	60506	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
NYX	1	11741858_a_at	NYX	60506	GPL13667	TRUE	TRUE	60506	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
ZAR1	1	11741859_at	ZAR1	326340	GPL13667	TRUE	TRUE	326340	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
CAV3	1	11741860_a_at	CAV3	859	GPL13667	TRUE	TRUE	859	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
AGER	1	11741861_a_at	AGER	177	GPL13667	TRUE	TRUE	177	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
AGER	1	11741862_x_at	AGER	177	GPL13667	TRUE	TRUE	177	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
OR5V1	1	11741863_at	OR5V1	81696	GPL13667	TRUE	TRUE	81696	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
OR7C1	1	11741864_at	OR7C1	26664	GPL13667	TRUE	TRUE	26664	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
CSTL1	1	11741865_a_at	CSTL1	128817	GPL13667	TRUE	TRUE	128817	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
OR1J2	1	11741866_at	OR1J2	26740	GPL13667	TRUE	TRUE	26740	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
P2RX2	1	11741867_a_at	P2RX2	22953	GPL13667	TRUE	TRUE	22953	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
P2RX2	1	11741868_x_at	P2RX2	22953	GPL13667	TRUE	TRUE	22953	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
PARK2	1	11741869_x_at	PARK2	5071	GPL13667	TRUE	TRUE	5071	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
PARK2	1	11741870_a_at	PARK2	5071	GPL13667	TRUE	TRUE	5071	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
	0	11741871_x_at	FRG2 /// FRG2B	441581 /// 448831	GPL13667	FALSE	FALSE		MISSING_OR_AMBIGUOUS_SYMBOL	FALSE	FALSE	FALSE
ERLEC1	1	11741872_a_at	ERLEC1	27248	GPL13667	TRUE	TRUE	27248	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
CSNK1E	1	11741873_a_at	CSNK1E	1454	GPL13667	TRUE	TRUE	1454	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	FALSE
SEPP1	1	11741874_x_at	SEPP1	6414	GPL13667	TRUE	TRUE	6414	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
AKTIP	1	11741875_x_at	AKTIP	64400	GPL13667	TRUE	TRUE	64400	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
IL9R	1	11741876_a_at	IL9R	3581	GPL13667	TRUE	TRUE	3581	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
IL9R	1	11741877_s_at	IL9R	3581	GPL13667	TRUE	TRUE	3581	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
PML	1	11741878_a_at	PML	5371	GPL13667	TRUE	TRUE	5371	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
PML	1	11741879_x_at	PML	5371	GPL13667	TRUE	TRUE	5371	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
SERPINE3	1	11741880_at	SERPINE3	647174	GPL13667	TRUE	TRUE	647174	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
DMKN	1	11741881_a_at	DMKN	93099	GPL13667	TRUE	TRUE	93099	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
ARTN	1	11741882_a_at	ARTN	9048	GPL13667	TRUE	TRUE	9048	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
MRPL39	1	11741883_a_at	MRPL39	54148	GPL13667	TRUE	TRUE	54148	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
SMOX	1	11741884_a_at	SMOX	54498	GPL13667	TRUE	TRUE	54498	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
CASP1	1	11741885_x_at	CASP1	834	GPL13667	TRUE	TRUE	834	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
FAM47A	1	11741886_a_at	FAM47A	158724	GPL13667	TRUE	TRUE	158724	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
WDR64	1	11741887_a_at	WDR64	128025	GPL13667	TRUE	TRUE	128025	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
C1orf157	1	11741888_at	C1orf157	284573	GPL13667	TRUE	TRUE	284573	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	FALSE
DUXA	1	11741889_at	DUXA	503835	GPL13667	TRUE	TRUE	503835	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
NKX2-4	1	11741890_at	NKX2-4	644524	GPL13667	TRUE	TRUE	644524	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
EVX2	1	11741891_at	EVX2	344191	GPL13667	TRUE	TRUE	344191	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
FOXI3	1	11741892_at	FOXI3	344167	GPL13667	TRUE	TRUE	344167	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
DPH3B	1	11741893_at	DPH3B	100132911	GPL13667	TRUE	TRUE	100132911	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	FALSE
DPH3B	1	11741894_x_at	DPH3B	100132911	GPL13667	TRUE	TRUE	100132911	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	FALSE
OTUD4	1	11741895_a_at	OTUD4	54726	GPL13667	TRUE	TRUE	54726	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
RPLP1	1	11741896_x_at	RPLP1	6176	GPL13667	TRUE	TRUE	6176	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
MMP1	1	11741897_a_at	MMP1	4312	GPL13667	TRUE	TRUE	4312	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
	0	11741898_x_at	KIR2DS3 /// KIR2DS5	3808 /// 3810	GPL13667	FALSE	FALSE		MISSING_OR_AMBIGUOUS_SYMBOL	FALSE	FALSE	FALSE
FCGR2B	1	11741899_s_at	FCGR2B	2213	GPL13667	TRUE	TRUE	2213	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
	0	11741900_x_at	KIR2DL1 /// KIR2DL2	3802 /// 3803	GPL13667	FALSE	FALSE		MISSING_OR_AMBIGUOUS_SYMBOL	FALSE	FALSE	FALSE
	0	11741901_x_at	KIR2DL5A /// KIR2DL5B	553128 /// 57292	GPL13667	FALSE	FALSE		MISSING_OR_AMBIGUOUS_SYMBOL	FALSE	FALSE	FALSE
SHBG	1	11741902_a_at	SHBG	6462	GPL13667	TRUE	TRUE	6462	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
LOC286238	1	11741903_at	LOC286238	286238	GPL13667	TRUE	TRUE	286238	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
FOLR4	1	11741904_at	FOLR4	390243	GPL13667	TRUE	TRUE	390243	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	FALSE
	0	11741905_at	DEFB105A /// DEFB105B	245908 /// 504180	GPL13667	FALSE	FALSE		MISSING_OR_AMBIGUOUS_SYMBOL	FALSE	FALSE	FALSE
DRGX	1	11741906_at	DRGX	644168	GPL13667	TRUE	TRUE	644168	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
DRGX	1	11741907_x_at	DRGX	644168	GPL13667	TRUE	TRUE	644168	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
