gene_symbol	entrez_id_a	entrez_id_n	entrez_agreement
ANGPTL2	23452	23452	TRUE
ANGPTL3	27329	27329	TRUE
ANGPTL4	51129	51129	TRUE
ANGPTL5	253935	253935	TRUE
ANGPTL6	83854	83854	TRUE
ANGPTL7	10218	10218	TRUE
ANK1	286	286	TRUE
ANK2	287	287	TRUE
ANK3	288	288	TRUE
ANKAR	150709	150709	TRUE
ANKDD1A	348094	348094	TRUE
ANKFN1	162282	162282	TRUE
ANKFY1	51479	51479	TRUE
ANKH	56172	56172	TRUE
ANKHD1	54882	54882	TRUE
ANKIB1	54467	54467	TRUE
ANKK1	255239	255239	TRUE
ANKLE1	126549	126549	TRUE
ANKLE2	23141	23141	TRUE
ANKMY1	51281	51281	TRUE
ANKMY2	57037	57037	TRUE
ANKRA2	57763	57763	TRUE
ANKRD1	27063	27063	TRUE
ANKRD10	55608	55608	TRUE
ANKRD11	29123	29123	TRUE
ANKRD12	23253	23253	TRUE
ANKRD13A	88455	88455	TRUE
ANKRD13B	124930	124930	TRUE
ANKRD13C	81573	81573	TRUE
ANKRD13D	338692	338692	TRUE
ANKRD16	54522	54522	TRUE
ANKRD17	26057	26057	TRUE
ANKRD18A	253650	253650	TRUE
ANKRD2	26287	26287	TRUE
ANKRD22	118932	118932	TRUE
ANKRD24	170961	170961	TRUE
ANKRD26	22852	22852	TRUE
ANKRD27	84079	84079	TRUE
ANKRD28	23243	23243	TRUE
ANKRD29	147463	147463	TRUE
ANKRD30A	91074	91074	TRUE
ANKRD30B	374860	374860	TRUE
ANKRD33	341405	341405	TRUE
ANKRD34A	284615	284615	TRUE
ANKRD34B	340120	340120	TRUE
ANKRD34C	390616	390616	TRUE
ANKRD35	148741	148741	TRUE
ANKRD36	375248	375248	TRUE
ANKRD37	353322	353322	TRUE
ANKRD39	51239	51239	TRUE
ANKRD40	91369	91369	TRUE
ANKRD42	338699	338699	TRUE
ANKRD44	91526	91526	TRUE
ANKRD45	339416	339416	TRUE
ANKRD46	157567	157567	TRUE
ANKRD49	54851	54851	TRUE
ANKRD50	57182	57182	TRUE
ANKRD52	283373	283373	TRUE
ANKRD53	79998	79998	TRUE
ANKRD54	129138	129138	TRUE
ANKRD55	79722	79722	TRUE
ANKRD6	22881	22881	TRUE
ANKRD7	56311	56311	TRUE
ANKRD9	122416	122416	TRUE
ANKS1A	23294	23294	TRUE
ANKS1B	56899	56899	TRUE
ANKS3	124401	124401	TRUE
ANKS4B	257629	257629	TRUE
ANKS6	203286	203286	TRUE
ANKZF1	55139	55139	TRUE
ANLN	54443	54443	TRUE
ANO1	55107	55107	TRUE
ANO10	55129	55129	TRUE
ANO2	57101	57101	TRUE
ANO3	63982	63982	TRUE
ANO4	121601	121601	TRUE
ANO5	203859	203859	TRUE
ANO6	196527	196527	TRUE
ANO7	50636	50636	TRUE
